Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,91.49,95.74,97.87,47
black-backed butterflyfish,96.0,100.0,100.0,50
crosshatch butterflyfish,94.74,97.37,100.0,38
fourspot butterflyfish,94.12,98.04,100.0,51
highfin coralfish,97.96,97.96,97.96,49
humphead bannerfish,91.84,97.96,100.0,49
indian redfin butterflyfish,94.34,96.23,98.11,53
indian vagabond butterflyfish,89.83,96.61,96.61,59
lined butterflyfish,98.0,100.0,100.0,50
long-beaked coralfish,95.92,100.0,100.0,49
longfin bannerfish,90.38,96.15,100.0,52
margined coralfish,88.89,100.0,100.0,27
masked bannerfish,96.08,100.0,100.0,51
ocellated coralfish,81.58,94.74,97.37,38
oval-spot butterflyfish,95.65,97.83,97.83,46
pacific double-saddle butterflyfish,92.16,96.08,96.08,51
panda butterflyfish,86.67,91.11,91.11,45
pennant bannerfish,85.42,91.67,91.67,48
phantom bannerfish,88.0,98.0,100.0,50
redfin butterflyfish,87.76,95.92,95.92,49
saddleback butterflyfish,92.16,98.04,98.04,51
speckled butterflyfish,93.88,97.96,97.96,49
teardrop butterflyfish,93.75,100.0,100.0,48
threadfin butterflyfish,90.91,98.18,100.0,55
triangular butterflyfish,94.12,98.04,98.04,51
two-eyed coralfish,100.0,100.0,100.0,38
vagabond butterflyfish,86.0,92.0,96.0,50
yellow-dotted butterflyfish,88.24,100.0,100.0,17
Class Mean,91.99,97.34,98.23,28
Overall,92.14,97.25,98.17,1311
