Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,93.62,97.87,97.87,47
black-backed butterflyfish,96.0,100.0,100.0,50
crosshatch butterflyfish,97.37,100.0,100.0,38
fourspot butterflyfish,98.04,98.04,98.04,51
highfin coralfish,97.96,100.0,100.0,49
humphead bannerfish,95.92,100.0,100.0,49
indian redfin butterflyfish,96.23,98.11,100.0,53
indian vagabond butterflyfish,91.53,98.31,98.31,59
lined butterflyfish,96.0,98.0,98.0,50
long-beaked coralfish,100.0,100.0,100.0,49
longfin bannerfish,96.15,98.08,100.0,52
margined coralfish,92.59,100.0,100.0,27
masked bannerfish,98.04,100.0,100.0,51
ocellated coralfish,92.11,97.37,97.37,38
oval-spot butterflyfish,100.0,100.0,100.0,46
pacific double-saddle butterflyfish,94.12,98.04,100.0,51
panda butterflyfish,88.89,95.56,100.0,45
pennant bannerfish,85.42,93.75,93.75,48
phantom bannerfish,96.0,100.0,100.0,50
redfin butterflyfish,93.88,97.96,97.96,49
saddleback butterflyfish,98.04,98.04,100.0,51
speckled butterflyfish,95.92,100.0,100.0,49
teardrop butterflyfish,97.92,100.0,100.0,48
threadfin butterflyfish,90.91,100.0,100.0,55
triangular butterflyfish,98.04,98.04,100.0,51
two-eyed coralfish,100.0,100.0,100.0,38
vagabond butterflyfish,96.0,100.0,100.0,50
yellow-dotted butterflyfish,100.0,100.0,100.0,17
Overall,95.5,98.78,99.31,1311
